layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 2.000000 57.000000 
1.000000 14.000000 54.142857 
1.000000 16.000000 87.000000 
1.000000 6.000000 135.000000 
1.000000 0.500000 200.000000 
1.000000 3.500000 200.000000 
1.000000 0.300000 200.000000 
1.000000 8.700000 244.000000 
1.000000 5.000000 249.000000 
2.000000 1.000000 202.000000 
3.000000 9.000000 202.000000 
3.000000 0.100000 273.000000 
3.000000 0.900000 273.000000 
3.000000 14.000000 273.000000 
3.000000 10.000000 252.000000 
