layer_ID[1=slab,2=WL,3=substratum] thickness[cm] density[kg/m3] 
1.000000 3.500000 149.000000 
1.000000 1.500000 176.000000 
1.000000 9.000000 176.000000 
1.000000 2.000000 217.000000 
1.000000 4.000000 217.000000 
1.000000 1.000000 217.000000 
1.000000 0.500000 217.000000 
1.000000 2.000000 217.000000 
1.000000 10.500000 255.000000 
1.000000 0.200000 259.000000 
1.000000 1.800000 259.000000 
1.000000 0.500000 259.000000 
1.000000 1.500000 259.000000 
1.000000 1.000000 259.000000 
1.000000 0.200000 259.000000 
1.000000 2.800000 259.000000 
1.000000 12.000000 279.000000 
1.000000 15.000000 317.000000 
1.000000 2.000000 344.000000 
1.000000 12.000000 344.000000 
2.000000 6.000000 258.000000 
3.000000 7.000000 258.000000 
3.000000 16.000000 255.000000 
3.000000 2.000000 310.000000 
3.000000 11.000000 310.000000 
